year,bunker_type,bunker_sales
2020,Low-Sulfur Fuel Oil 180 cst,1132.137811
2020,Low-Sulfur Fuel Oil 380 cst,25309.69917
2020,Low-Sulfur Fuel Oil 500 cst,0
2020,Ultra Low-Sulfur Fuel Oil,400.766
2020,Others,59.325
2021,Marine Gas Oil,360.276
2021,Marine Diesel Oil,0
2021,Marine Fuel Oil 180 cst,40.296
2021,Marine Fuel Oil 380 cst,12161.979
2021,Marine Fuel Oil 500 cst +,684.476
2021,Low-Sulfur Marine Gas Oil,3722.023
2021,Low-Sulfur Fuel Oil 100 cst,6023.257
2021,Low-Sulfur Fuel Oil 180 cst,1992.821
2021,Low-Sulfur Fuel Oil 380 cst,24855.494
2021,Low-Sulfur Fuel Oil 500 cst,0
2021,Ultra Low-Sulfur Fuel Oil,0
2021,Others,148.164
2022,Marine Gas Oil,140.482599
2022,Marine Diesel Oil,0
2022,Marine Fuel Oil 180 cst,0.289
2022,Marine Fuel Oil 380 cst,13165.30822
2022,Marine Fuel Oil 500 cst +,515.592256
2022,Low-Sulfur Marine Gas Oil,3612.624404
2022,Low-Sulfur Fuel Oil 100 cst,5661.176497
2022,Low-Sulfur Fuel Oil 180 cst,975.121173
2022,Low-Sulfur Fuel Oil 380 cst,23497.66951
2022,Low-Sulfur Fuel Oil 500 cst,1.147
2022,Ultra Low-Sulfur Fuel Oil,0
2022,Others,310.881197
